"Operational State,""WDM Connection Type"",""Name"",""Shape"",""Implementation State"",""Working State"",""From NE/Port #1"",""To NE/Port #1"",""Alarm Status"",""Direction"",""Flex Grid Capable"",""Band"",""NPA Name"",""Protection"",""Commissioned Status"",""Service State"",""Administrative State"",""OLC State"",""Client Signal Type"",""RX Frequency"",""TX Frequency"",""ASAP Name"",""Inter Shelf"",""Span Type"",""Cluster"",""Grid Type"",""A-Z Span Loss C"",""Z-A Span Loss C"",""A-Z Span Loss L"",""Z-A Span Loss L"",""Last Calculated Span Loss Date"",""Definition Time"",""SRG Present"",""Link Type"",""Latency (microsec.)"",""3Ê³áµˆ Party Network Name"",""3Ê³áµˆ Party Network Description"",""From NE/Port #2"",""Access Control Domain"",""OTDR Summary"",""OTDR Scan Status"",""OTDR Supported"",""Dark Fiber Associated"",""To NE/Port #2"",""Fiber Route Associated"",""Latest Note"",""ASAP"",""% Low Utilization Threshold"",""% High Utilization Threshold"",""Repeater"",""% Utilization"",""ASELL Status"",""Utilization Profile"",""Audit State"",""Allocation Cost"",""Subsea"""
"Up,""OTS"",""A32-R-0000170828-01/A32-R-0000790513-01/SFRW03243/OTDR-P7"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000790513-01/IROADM-5-7-LINEOUT"",""A32-R-0000170828-01/AHPHG-2-2-LINE"",""Cleared"",""Bidirectional"",""No"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""20.79"",""19.48"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Wed Sep 01 2021 23:41:40 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""380"",""Intrusion OK"",""Att A-B 19.8 B-A 21.5"",""A32-R-0000170828-01/AHPHG-2-2-LINE"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000790513-01/IROADM-5-7-LINEIN"",""True"","" "",""Enabled"",""50"",""80"",""False"",""9.09"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000280543-01/A32-R-0000911626-01/SFRW08565/OTDR-P2"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000280543-01/IROADM-1-7-LINEOUT"",""A32-R-0000911626-01/IROADM-2-17-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""21.7"",""19.94"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Wed Mar 24 2021 00:27:47 GMT+0100 (heure normale dâ€™Europe centrale)"",""Not Present"",""Legacy"",""398"",""Intrusion OK"",""Att A-B 20 B-A 20.8"",""A32-R-0000911626-01/IROADM-2-17-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000280543-01/IROADM-1-7-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""8.85"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000300024-01/A32-R-0000341746-01/SFRW03889/OTDR-P8"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000300024-01/IPREAMP-2-3-LINEOUT"",""A32-R-0000341746-01/IPREAMP-5-3-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""36.59"",""37.74"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Thu Nov 24 2022 22:48:01 GMT+0100 (heure normale dâ€™Europe centrale)"",""Not Present"",""Legacy"",""726"",""Intrusion OK"",""Att A-B 36.4 B-A 37.6"",""A32-R-0000341746-01/IPREAMP-5-3-LINEOUT"",""unknown unknown"",""Fibercut Detected"",""Success"",""True"",""False"",""A32-R-0000300024-01/IPREAMP-2-3-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""2.08"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000300194-01/A32-R-0000301024-01/SFRW42851/OTDR-P7"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000300194-01/IROADM-2-2-LINEOUT"",""A32-R-0000301024-01/IROADM-1-7-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""Not In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""8.75"",""8.58"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Mon Sep 12 2022 16:28:14 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""40"",""Intrusion OK"",""Att A-B 8.6 B-A 8.7"",""A32-R-0000301024-01/IROADM-1-7-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000300194-01/IROADM-2-2-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""1.04"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000300194-01/A32-R-0000301025-01/SFRW40961/OTDR-P8"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000300194-01/IROADM-3-2-LINEOUT"",""A32-R-0000301025-01/IROADM-1-2-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""30.29"",""31.29"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Mon May 23 2022 14:14:13 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""240"",""Intrusion OK"",""Att A-B 29.3 B-A 29"",""A32-R-0000301025-01/IROADM-1-2-LINEOUT"",""unknown unknown"",""Discrepancy Detected"",""In progress"",""True"",""False"",""A32-R-0000300194-01/IROADM-3-2-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""1.04"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000300194-01/A32-R-0000301057-01/SFRW41525/OTDR-P9"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000301057-01/IROADM-3-12-LINEOUT"",""A32-R-0000300194-01/IROADM-1-2-LINEIN"",""Cleared"",""Bidirectional"",""Undefined"",""C"","""",""Unprotected"",""Commissioned"",""Not In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""10.13"",""9.77"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Thu Jul 28 2022 15:47:44 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""510"",""Intrusion OK"",""Att A-B 10 B-A 10.2"",""A32-R-0000300194-01/IROADM-1-2-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000301057-01/IROADM-3-12-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""0"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000301057-01/A32-R-0000841003-01/SFRW08329/OTDR-P9"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000841003-01/IROADM-1-7-LINEOUT"",""A32-R-0000301057-01/AHPHG-1-2-LINE"",""Cleared"",""Bidirectional"",""No"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""12.45"",""12.21"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Wed Feb 03 2021 01:28:40 GMT+0100 (heure normale dâ€™Europe centrale)"",""Not Present"",""Legacy"",""232"",""Intrusion OK"",""Att A-B 12.8 B-A 12.7"",""A32-R-0000301057-01/AHPHG-1-2-LINE"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000841003-01/IROADM-1-7-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""7.29"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000330268-01/A32-R-0000332340-01/SFRW11269/OTDR-P7"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000332340-01/IROADM-5-7-LINEOUT"",""A32-R-0000330268-01/AHPHG-2-2-LINE"",""Cleared"",""Bidirectional"",""No"",""C"","""",""Unprotected"",""Commissioned"",""Not In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""9.16"",""9.62"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Wed Sep 08 2021 01:24:37 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""152"",""Intrusion OK"",""Att A-B 10.5 B-A 9.3"",""A32-R-0000330268-01/AHPHG-2-2-LINE"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000332340-01/IROADM-5-7-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""20.45"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000332231-01/A32-R-0000332340-01/SFRW08387/OTDR-P8"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000332231-01/IROADM-2-17-LINEOUT"",""A32-R-0000332340-01/IROADM-4-17-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""20.76"",""21.58"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Thu Mar 17 2022 23:57:35 GMT+0100 (heure normale dâ€™Europe centrale)"",""Not Present"",""Legacy"",""433"",""Intrusion OK"",""Att A-B 20.8 B-A 21.7"",""A32-R-0000332340-01/IROADM-4-17-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000332231-01/IROADM-2-17-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""20.31"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000332340-01/A32-R-0000332193-01/SFRW07955/OTDR-P9"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000332193-01/IROADM-1-7-LINEOUT"",""A32-R-0000332340-01/IROADM-2-6-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""16.03"",""17.62"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Tue Jul 13 2021 02:28:32 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""343"",""Intrusion OK"",""Att A-B 16.2 B-A 17.8"",""A32-R-0000332340-01/IROADM-2-6-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000332193-01/IROADM-1-7-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""16.67"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
